,Input Format,MSE,Max Difference
0,['m'],13.998905779686606,1259.9911499023438
1,['T_g/T_m'],15.583585104897846,953.0093994140624
2,"['T_g/T_m', 'm']",6.916767733232027,156.29315185546875
3,"['T_g', 'm']",6.860470662216554,251.2486572265625
4,['T_g'],7.911560327925376,307.83740234375
5,"['T_g', 'T_m']",5.502719480607512,108.0687255859375
6,"['T_g', 'T_m', 'm']",4.770721240178168,121.304443359375
7,['T_m'],6.80275577728354,232.96221923828125
8,"['T_g', 'T_m', 'T_g/T_m', 'm']",4.482530679232635,93.287841796875
